"Model","Climate_Scenario","Mgmt_Scenario","Scenario_Name","Maize_Diff_Mgha","Soybean_Diff_Mgha","Wheat_Diff_Mgha","SOC_Diff_Mgha","Total_N2O_kgha","N2O_Diff_kgha","Total_CH4_kgha","CH4_Diff_kgha","Total_SOC_Mgha","Cotton_Diff_Mgha","Sorghum_Diff_Mgha","N2O_Mgha","CH4_Mgha","CO2e_SOC","CO2e_N2O","CO2e_CH4","scenario_abbrev","GWP"
"RothC",1,7,"1_7",NA,NA,NA,-0.17425,10.4584198,NA,-16.12841952,NA,5.9608,NA,NA,0.0104584198,-0.01612841952,0.638916666666667,4.4866620942,-0.58062310272,"CN",4.54495565814667
"APSIM",1,8,"1_8",NA,NA,NA,0.2,12.90242,0.038847172413793,-15.9570140652,NA,7.3,-0.126950000000003,0.460598086124406,0.01290242,-0.0159570140652,-0.733333333333333,5.53513818,-0.5744525063472,"CC-NT-CR",4.22735234031947
"Daycent",1,8,"1_8",NA,NA,NA,4.6,8.5228825,0.00810253793103344,-15.9570140652,-0.01761519827126,12.8,-0.135695222222227,0.65285422222226,0.0085228825,-0.0159570140652,-16.8666666666667,3.6563165925,-0.5744525063472,"CC-NT-CR",-13.7848025805139
"RothC",1,8,"1_8",NA,NA,NA,0.0130000000000008,10.71265125,NA,-15.9570140652,NA,6.43045,NA,NA,0.01071265125,-0.0159570140652,-0.0476666666666696,4.59572738625,-0.5744525063472,"CC-NT-CR",3.97360821323613
"APSIM",5,3,"5_3",NA,NA,NA,-0.300000000000001,11.72158,0.0167088275862086,-16.72382094,NA,5.6,-0.21095,-0.268584615384604,0.01172158,-0.01672382094,1.1,5.02855782,-0.60205755384,"CC-CR",5.52650026616
"Daycent",5,3,"5_3",NA,NA,NA,1.4,11.2970015,0.0277244331034495,-16.72382094,-0.0156215016092003,9.3,0.404977666666671,0.703042803418811,0.0112970015,-0.01672382094,-5.13333333333333,4.8464136435,-0.60205755384,"CC-CR",-0.888977243673333
"RothC",5,3,"5_3",NA,NA,NA,0.430549999999999,11.50929075,NA,-16.72382094,NA,7.236,NA,NA,0.01150929075,-0.01672382094,-1.57868333333333,4.93748573175,-0.60205755384,"CC-CR",2.75674484457667
"APSIM",5,41,"5_41",NA,NA,NA,-0.5,12.09106,0.0239626206896542,-15.75338588,NA,5.6,-0.496215384615411,-0.278029347826052,0.01209106,-0.01575338588,1.83333333333333,5.18706474,-0.56712189168,"RF05-CR",6.45327618165333
"Daycent",5,41,"5_41",NA,NA,NA,0.800000000000002,11.5756026,0.0551479448275873,-15.75338588,0.00594297946359773,8.8,0.738597111111119,0.86999883760685,0.0115756026,-0.01575338588,-2.93333333333334,4.9659335154,-0.56712189168,"RF05-CR",1.46547829038666
"RothC",5,41,"5_41",NA,NA,NA,0.304,11.8333313,NA,-15.75338588,NA,7.03465,NA,NA,0.0118333313,-0.01575338588,-1.11466666666667,5.0764991277,-0.56712189168,"RF05-CR",3.39471056935333
"APSIM",5,42,"5_42",NA,NA,NA,-0.4,11.46962,0.0285554482758612,-15.83056208,NA,5.6,-0.424400000000023,-0.274080434782576,0.01146962,-0.01583056208,1.46666666666667,4.92046698,-0.56990023488,"RF15-CR",5.81723341178667
"Daycent",5,42,"5_42",NA,NA,NA,0.600000000000002,11.2662101,0.049814948965518,-15.83056208,0.00401525394635621,8.6,0.676963333333333,0.804074666666679,0.0112662101,-0.01583056208,-2.20000000000001,4.8332041329,-0.56990023488,"RF15-CR",2.06330389801999
"RothC",5,42,"5_42",NA,NA,NA,0.20235,11.36791505,NA,-15.83056208,NA,6.93285,NA,NA,0.01136791505,-0.01583056208,-0.74195,4.87683555645,-0.56990023488,"RF15-CR",3.56498532157
"APSIM",5,43,"5_43",NA,NA,NA,-0.5,10.84467,0.0197267586206885,-15.9095347,NA,5.5,-0.443446153846182,-0.326253260869532,0.01084467,-0.0159095347,1.83333333333333,4.65236343,-0.5727432492,"RF25-CR",5.91295351413333
"Daycent",5,43,"5_43",NA,NA,NA,0.300000000000002,10.9555895,0.0428841724137937,-15.9095347,0.00181654176244805,8.3,0.615136444444445,0.73299487179488,0.0109555895,-0.0159095347,-1.10000000000001,4.6999478955,-0.5727432492,"RF25-CR",3.02720464629999
"RothC",5,43,"5_43",NA,NA,NA,0.0992500000000005,10.90012975,NA,-15.9095347,NA,6.82955,NA,NA,0.01090012975,-0.0159095347,-0.363916666666668,4.67615566275,-0.5727432492,"RF25-CR",3.73949574688333
"APSIM",5,44,"5_44",NA,NA,NA,-0.6,10.24185,0.0150835862068952,-15.99161152,NA,5.4,-0.409784615384645,-0.321124999999967,0.01024185,-0.01599161152,2.2,4.39375365,-0.57569801472,"RF35-CR",6.01805563528
"Daycent",5,44,"5_44",NA,NA,NA,0,10.6318371,0.0357062593103455,-15.99161152,-0.000222573793107306,8,0.555425777777785,0.653540854700864,0.0106318371,-0.01599161152,0,4.5610581159,-0.57569801472,"RF35-CR",3.98536010118
"RothC",5,44,"5_44",NA,NA,NA,-0.00450000000000017,10.43684355,NA,-15.99161152,NA,6.72565,NA,NA,0.01043684355,-0.01599161152,0.0165000000000006,4.47740588295,-0.57569801472,"RF35-CR",3.91820786823
"APSIM",5,51,"5_51",NA,NA,NA,-0.2,8.62285,0.0309546206896548,-16.5789557,NA,3.8,-0.207876923076943,-0.330582608695622,0.00862285,-0.0165789557,0.733333333333333,3.69920265,-0.5968424052,"RR50-CR",3.83569357813333
"Daycent",5,51,"5_51",NA,NA,NA,0.399999999999999,11.8739607,0.0126295337931036,-16.5789557,-0.0147016924137979,8.4,0.433034888888891,0.605448136752145,0.0118739607,-0.0165789557,-1.46666666666666,5.0939291403,-0.5968424052,"RR50-CR",3.03042006843334
