"year","crop","treatment_scen","Model","yield_val"
2002,"Sorghum","Cover Crop, Crop Rotation","Historical",1.85977949799579
2002,"Sorghum","Cover Crop, Crop Rotation","APSIM",NA
2002,"Sorghum","Cover Crop, Crop Rotation","Daycent",NA
2003,"Sorghum","Cover Crop, Crop Rotation","Historical",1.97863295598029
2003,"Sorghum","Cover Crop, Crop Rotation","APSIM",NA
2003,"Sorghum","Cover Crop, Crop Rotation","Daycent",NA
2004,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
2004,"Sorghum","Cover Crop, Crop Rotation","APSIM",2.317
2004,"Sorghum","Cover Crop, Crop Rotation","Daycent",3.88178444444444
2006,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
2006,"Sorghum","Cover Crop, Crop Rotation","APSIM",0.973
2006,"Sorghum","Cover Crop, Crop Rotation","Daycent",NA
2007,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
2007,"Sorghum","Cover Crop, Crop Rotation","APSIM",NA
2007,"Sorghum","Cover Crop, Crop Rotation","Daycent",0.568502222222222
2011,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
2011,"Sorghum","Cover Crop, Crop Rotation","APSIM",NA
2011,"Sorghum","Cover Crop, Crop Rotation","Daycent",1.37703333333333
2013,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
2013,"Sorghum","Cover Crop, Crop Rotation","APSIM",1.941
2013,"Sorghum","Cover Crop, Crop Rotation","Daycent",1.31704666666667
2015,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
2015,"Sorghum","Cover Crop, Crop Rotation","APSIM",2.535
2015,"Sorghum","Cover Crop, Crop Rotation","Daycent",1.33447333333333
2017,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
2017,"Sorghum","Cover Crop, Crop Rotation","APSIM",1.898
2017,"Sorghum","Cover Crop, Crop Rotation","Daycent",2.0295
2019,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
2019,"Sorghum","Cover Crop, Crop Rotation","APSIM",1.859
2019,"Sorghum","Cover Crop, Crop Rotation","Daycent",1.85393111111111
2021,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
2021,"Sorghum","Cover Crop, Crop Rotation","APSIM",2.622
2021,"Sorghum","Cover Crop, Crop Rotation","Daycent",2.02306222222222
2023,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
2023,"Sorghum","Cover Crop, Crop Rotation","APSIM",2.268
2023,"Sorghum","Cover Crop, Crop Rotation","Daycent",0.967395555555556
2025,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
2025,"Sorghum","Cover Crop, Crop Rotation","APSIM",1.503
2025,"Sorghum","Cover Crop, Crop Rotation","Daycent",0.895606666666667
2027,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
2027,"Sorghum","Cover Crop, Crop Rotation","APSIM",1.936
2027,"Sorghum","Cover Crop, Crop Rotation","Daycent",1.49431555555556
2029,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
2029,"Sorghum","Cover Crop, Crop Rotation","APSIM",0.404
2029,"Sorghum","Cover Crop, Crop Rotation","Daycent",1.68750222222222
2031,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
2031,"Sorghum","Cover Crop, Crop Rotation","APSIM",2.605
2031,"Sorghum","Cover Crop, Crop Rotation","Daycent",1.18293777777778
2033,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
2033,"Sorghum","Cover Crop, Crop Rotation","APSIM",1.557
2033,"Sorghum","Cover Crop, Crop Rotation","Daycent",1.54570666666667
2035,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
2035,"Sorghum","Cover Crop, Crop Rotation","APSIM",1.81
2035,"Sorghum","Cover Crop, Crop Rotation","Daycent",0.929675555555556
2037,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
2037,"Sorghum","Cover Crop, Crop Rotation","APSIM",1.913
2037,"Sorghum","Cover Crop, Crop Rotation","Daycent",1.37632
2039,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
2039,"Sorghum","Cover Crop, Crop Rotation","APSIM",2.502
2039,"Sorghum","Cover Crop, Crop Rotation","Daycent",1.51134222222222
2041,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
2041,"Sorghum","Cover Crop, Crop Rotation","APSIM",1.738
2041,"Sorghum","Cover Crop, Crop Rotation","Daycent",1.72342
2043,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
2043,"Sorghum","Cover Crop, Crop Rotation","APSIM",1.781
2043,"Sorghum","Cover Crop, Crop Rotation","Daycent",1.54773777777778
2045,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
2045,"Sorghum","Cover Crop, Crop Rotation","APSIM",1.605
2045,"Sorghum","Cover Crop, Crop Rotation","Daycent",1.54221111111111
2047,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
2047,"Sorghum","Cover Crop, Crop Rotation","APSIM",1.362
2047,"Sorghum","Cover Crop, Crop Rotation","Daycent",1.93928
2049,"Sorghum","Cover Crop, Crop Rotation","Historical",NA
2049,"Sorghum","Cover Crop, Crop Rotation","APSIM",1.311
2049,"Sorghum","Cover Crop, Crop Rotation","Daycent",1.64968888888889
1940,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
1940,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1940,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",1.44713777777778
1941,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
1941,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1941,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",1.20638444444444
1942,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
1942,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1942,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",1.22984
1943,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
1943,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1943,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",0.568382222222222
1944,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
1944,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1944,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",2.02668666666667
1945,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
1945,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1945,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",2.26915777777778
1946,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
1946,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1946,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",0.662062222222222
1947,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
1947,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1947,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",1.78096888888889
1948,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
1948,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1948,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",2.24060888888889
1949,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
1949,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1949,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",1.82846222222222
1950,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
1950,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1950,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",1.80326222222222
1951,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
1951,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1951,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",2.06618222222222
1952,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
1952,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1952,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",2.19838444444444
1953,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
1953,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1953,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",1.92538666666667
1954,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
1954,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1954,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",1.67149333333333
1955,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
1955,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1955,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",1.42808888888889
1956,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
1956,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1956,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",2.79592
1957,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
1957,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1957,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",1.80797333333333
1958,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
1958,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1958,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",1.35528444444444
1959,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
1959,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1959,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",3.12616888888889
1980,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",0.978435463835284
1980,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1980,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
1981,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
1981,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1981,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
1982,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",2.89696421803191
1982,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1982,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
1983,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",1.62739159617805
1983,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1983,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
1984,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",2.59415052086769
1984,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
1984,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
