"Model","Climate_Scenario","Mgmt_Scenario","Scenario_Name","Maize_Diff_Mgha","Soybean_Diff_Mgha","Wheat_Diff_Mgha","SOC_Diff_Mgha","Total_N2O_kgha","N2O_Diff_kgha","Total_CH4_kgha","CH4_Diff_kgha","Total_SOC_Mgha","Cotton_Diff_Mgha","Sorghum_Diff_Mgha"
"APSIM",5,54,"5_54",NA,NA,NA,"-0.3","8.75812","0.0186506206896554",NA,NA,"4.2","-0.176676923076942","-0.346804347826055"
"Daycent",5,54,"5_54",NA,NA,NA,"3.5","9.5075194","0.0252643820689648","-16.0269371289","-0.021294461064373","11.5","0.398715000000003","0.347387145299152"
"RothC",5,54,"5_54",NA,NA,NA,"0.0349000000000004",NA,NA,NA,NA,"6.31315",NA,NA
"APSIM",5,55,"5_55",NA,NA,NA,"-0.4","10.24143","0.0175882758620685",NA,NA,"5.3","-0.147784615384637","-0.362440217391274"
"Daycent",5,55,"5_55",NA,NA,NA,"4.1","9.4505026","0.0356208703448269","-15.690508113","-0.0166455783471313","12.1","0.447907666666673","0.409117059829068"
"RothC",5,55,"5_55",NA,NA,NA,"0.0361000000000002",NA,NA,NA,NA,"6.2976",NA,NA
"APSIM",5,56,"5_56",NA,NA,NA,"-0.699999999999999","12.52731","0.00978979310344757",NA,NA,"6.4","-0.387415384615412","-0.338624999999968"
"Daycent",5,56,"5_56",NA,NA,NA,"4.7","9.4817678","0.0469002537931033","-15.3409105575","-0.0101495163747172","12.7","0.485522888888894","0.454167042735058"
"RothC",5,56,"5_56",NA,NA,NA,"0.0378499999999997",NA,NA,NA,NA,"6.2832",NA,NA
"APSIM",5,61,"5_61",NA,NA,NA,"-0.899999999999999","8.64059","0.0475979310344846",NA,NA,"9.3","-0.155799999999999","0.0164615384615416"
"APSIM",5,62,"5_62",NA,NA,NA,"-1.5","8.58608","0.0515914482758644",NA,NA,"13.5","-0.153499999999999","0.0268615384615447"
"APSIM",5,63,"5_63",NA,NA,NA,"-2.2","8.47313","0.0485820689655193",NA,NA,"17.6","-0.16325","0.0107692307692393"
"APSIM",5,64,"5_64",NA,NA,NA,"-2.9","8.36614","0.0606968275862091",NA,NA,"21.7","-0.136700000000001","-0.117415384615366"
"APSIM",5,65,"5_65",NA,NA,NA,"-3.8","8.44553","0.0749616551724148",NA,NA,"25.8","-0.113200000000001","0.327384615384599"
"APSIM",5,7,"5_7",NA,NA,NA,"0.2","12.13759","0.0589379310344848",NA,NA,"6.7","-0.18732413793103",NA
"Daycent",5,7,"5_7",NA,NA,NA,"-0.199999999999999","8.3925534","0.0452026786206911","-16.01118022","0.0013121937164719","7.6","0.484431938697327",NA
"RothC",5,7,"5_7",NA,NA,NA,"-0.17905",NA,NA,NA,NA,"5.96195",NA,NA
"APSIM",5,8,"5_8",NA,NA,NA,"-0.5","12.03202","0.00647213793103629",NA,NA,"6","-0.161300000000001","-0.414676923076907"
"Daycent",5,8,"5_8",NA,NA,NA,"4.5","8.6817779","0.0283253848275863","-15.8933902821","-0.0126612340069012","12.7","0.409756888888893","0.451977572649582"
"RothC",5,8,"5_8",NA,NA,NA,"0.0603500000000006",NA,NA,NA,NA,"6.4862",NA,NA
