"Model","Climate_Scenario","component","CC-CR","RF05-CR","RF15-CR","RF25-CR","RF35-CR","RR00-CR","RR00-NT-CR","RR25-CR","RR25-NT-CR","RR50-CR","RR50-NT-CR","component_order"
"Daycent",1,"WFPS_10cm_change.1",0.0475109730092375,0.0491851826797758,0.0493020753929327,0.050287459576555,0.0498334466213118,0.0490459108288636,0.0510430998611121,0.049954297103215,0.0469532152944103,0.0513111775780546,0.0471011573528832,NA
"Daycent",5,"N2O_profile_last",2.13362230990767,3.2721444651323,3.06135900041796,2.85691874644923,2.63818738588878,3.42540907060447,3.36921280093299,3.53147693562884,3.30800005481232,3.50286876384479,3.26209653956198,"N2O_profile_last"
"Daycent",5,"N2O_profile_change",-0.506759779730863,-0.304530707198589,-0.349169499163107,-0.385494663446151,-0.453478324898732,-0.259043848971229,-0.229833933633736,-0.550755381007225,-0.470265524816689,-0.582149764605039,-0.490493495648325,"N2O_profile_change"
"Daycent",5,"NO3_0to60cm_last",7.69508562397733,39.9700105751499,34.6229029446237,29.0526746696991,23.5022900228602,43.3127207022498,38.3556357327278,45.2587831772061,38.6123406680731,45.0272291411059,39.0284416289276,"NO3_0to60cm_last"
"Daycent",5,"NO3_0to60cm_change",-1.838091770689,-0.676606468240784,-1.07082313971729,-1.82873136828537,-2.82734629979403,-0.239220147358935,6.41393480811655,1.22745124166651,7.09312728373551,1.22144449706778,7.82592281237139,"NO3_0to60cm_change"
"Daycent",5,"SoilT_20cm_last",15.173483065614,14.8761300449792,14.8904301430105,14.9042703844071,14.9208488599251,14.8479237088464,14.8551986483978,15.443792560562,15.1405404457155,15.8066110746765,15.4905783105999,"SoilT_20cm_last"
"Daycent",5,"SoilT_20cm_change",3.13949823092145,2.54128576971583,2.55406270293387,2.5665789108146,2.57791184372533,2.52285836935446,3.27733838441277,2.80094614831829,3.42616586122404,2.94023876565672,3.59249159098276,"SoilT_20cm_change"
"Daycent",5,"SW_20cm_last",0.208121764914776,0.192476233131412,0.192447024740543,0.192418699231492,0.192419113685759,0.192442312205757,0.191882290597453,0.193777850042916,0.192227302063819,0.193823494969959,0.192902730576509,"SW_20cm_last"
"Daycent",5,"SW_20cm_change",-0.0397078437215455,-0.0424244982343508,-0.0424483982687622,-0.0424847517601726,-0.0424648665407039,-0.0423741142939422,-0.0441314304865901,-0.0409864191070886,-0.0415809530500027,-0.0407088738911111,-0.0413727080534793,"SW_20cm_change"
"Daycent",5,"WFPS_10cm_last",0.493299758580576,0.471352550903249,0.471289127548657,0.471255508082591,0.471212742474871,0.471318303427909,0.461438497178887,0.47014266522251,0.460973888734692,0.470209951018664,0.461001220497024,NA
"Daycent",5,"CH4_last",0.382013924574828,0.403794538885623,0.403987389209598,0.404144365807038,0.40435556280326,0.403563104058486,0.473575236831996,0.408952886753579,0.476931484869447,0.4109956048542,0.480192415889562,NA
"Daycent",5,"SoilT_2cm_last",15.1312635255412,14.9879369755664,15.0022739855497,15.0170847541756,15.0342505749678,14.9589282817445,14.8209099711147,15.5656148525019,15.1140894198001,15.9339339217984,15.4735199379942,NA
"Daycent",5,"SoilT_5cm_last",15.1396127367999,14.9712405091802,14.9859260597333,15.0006322459211,15.0176851314127,14.942544746103,14.8281616948418,15.5480130138882,15.1201848052125,15.9156747289437,15.4782986866005,NA
"Daycent",5,"SoilT_10cm_last",15.1541367498359,14.9423153520053,14.9569246075545,14.9714342084267,14.9882766290542,14.9137574828173,14.8396541198329,15.5167417392221,15.1295847568493,15.8830610829545,15.484900012171,NA
