"Model","Climate_Scenario","Mgmt_Scenario","Scenario_Name","Maize_Diff_Mgha","Soybean_Diff_Mgha","Wheat_Diff_Mgha","SOC_Diff_Mgha","Total_N2O_kgha","N2O_Diff_kgha","Total_CH4_kgha","CH4_Diff_kgha","Total_SOC_Mgha","Cotton_Diff_Mgha","Sorghum_Diff_Mgha"
"APSIM",5,53,"5_53","-4.97479279279275","0.301155555555546","-0.902052525252529","3.9","48.16332","0.938717793103453",NA,NA,"40.9",NA,NA
"Daycent",5,53,"5_53","-2.87006888439956","-0.197387209876544","1.56242212345678","-2.2","37.6538291","-0.0643235517241321","-10.20363375","-0.0221193814176256","35.4",NA,NA
"RothC",5,53,"5_53",NA,NA,NA,"-2.5232",NA,NA,NA,NA,"30.486",NA,NA
"APSIM",5,54,"5_54","-5.94618888888863","0.368666666666662","-0.531151515151521","2.4","34.1111","0.911602068965527",NA,NA,"39.5",NA,NA
"Daycent",5,54,"5_54","-3.76162936026935","-0.154434864197526","1.24524469135802","0.700000000000003","37.1497801","-0.129561113103449","-12.13325685","-0.024106758620693","45.7",NA,NA
"RothC",5,54,"5_54",NA,NA,NA,"-2.9665",NA,NA,NA,NA,"32.386",NA,NA
"APSIM",5,55,"5_55","-5.94642222222194","0.369133333333323","-0.800234343434347","2.9","37.33465","0.91151972413795",NA,NA,"41.6",NA,NA
"Daycent",5,55,"5_55","-3.69337585634122","-0.200880987654319","1.48674711111111","2.2","37.5288628","-0.124562655172415","-12.031473025","-0.026259874712646","47.2",NA,NA
"RothC",5,55,"5_55",NA,NA,NA,"-2.8508",NA,NA,NA,NA,"32.5017",NA,NA
"APSIM",5,56,"5_56","-4.72855255255251","0.220888888888881","-0.956185858585869","3.7","47.58758","1.01843972413795",NA,NA,"45.5",NA,NA
"Daycent",5,56,"5_56","-3.61675553759824","-0.225352641975309","1.68074701234568","3.5","36.9039025","-0.0463439572413782","-11.900866925","-0.0306628888888904","48.5",NA,NA
"RothC",5,56,"5_56",NA,NA,NA,"-2.742",NA,NA,NA,NA,"32.6105",NA,NA
"APSIM",5,61,"5_61","-4.96688888888883","0.302711111111101","-0.842375757575759","2.8","45.35709","0.978483586206916",NA,NA,"53.1",NA,NA
"APSIM",5,62,"5_62","-4.96491291291289","0.301933333333324","-0.81058585858586","1.9","44.41666","1.02737889655173",NA,NA,"63",NA,NA
"APSIM",5,63,"5_63","-4.96281081081077","0.300066666666659","-0.79027878787879","0.900000000000006","43.51383","1.05408951724139",NA,NA,"72.7",NA,NA
"APSIM",5,64,"5_64","-4.9591111111111","0.298977777777768","-0.775119191919195","0.0999999999999943","42.69455","1.06270427586208",NA,NA,"82",NA,NA
"APSIM",5,65,"5_65","-4.95272072072072","0.299444444444436","-0.76171313131313","-0.600000000000009","41.93138","1.05865089655173",NA,NA,"91.6",NA,NA
