"Model","Climate_Scenario","Mgmt_Scenario","Scenario_Name","Maize_Diff_Mgha","Soybean_Diff_Mgha","Wheat_Diff_Mgha","SOC_Diff_Mgha","Total_N2O_kgha","N2O_Diff_kgha","Total_CH4_kgha","CH4_Diff_kgha","Total_SOC_Mgha","Cotton_Diff_Mgha","Sorghum_Diff_Mgha","N2O_Mgha","CH4_Mgha","CO2e_SOC","CO2e_N2O","CO2e_CH4","scenario_abbrev","GWP"
"Daycent",5,41,"5_41",-2.88697874747476,-0.165033382716048,1.51463130864197,-2.3,36.2713488,-0.0808342744827542,-10.207393675,-0.0222487413793113,35.3,NA,NA,0.0362713488,-0.010207393675,8.43333333333333,15.5604086352,-0.3674661723,"RF05-CR",23.6262757962333
"RothC",5,41,"5_41",NA,NA,NA,-2.5791,39.3147894,NA,-10.207393675,NA,30.4301,NA,NA,0.0393147894,-0.010207393675,9.4567,16.8660446526,-0.3674661723,"RF05-CR",25.9552784803
"APSIM",5,42,"5_42",-6.18092222222191,0.459355555555547,-0.891191919191925,3.5,39.09318,0.704533103448295,-10.2108687,NA,40.6,NA,NA,0.03909318,-0.0102108687,-12.8333333333333,16.77097422,-0.3675912732,"RF15-CR",3.57004961346667
"Daycent",5,42,"5_42",-2.90242016610551,-0.167838913580248,1.4714165925926,-2.4,34.2751162,-0.0969865296551671,-10.2108687,-0.0223436819923381,35.2,NA,NA,0.0342751162,-0.0102108687,8.8,14.7040248498,-0.3675912732,"RF15-CR",23.1364335766
"RothC",5,42,"5_42",NA,NA,NA,-2.64,36.6841481,NA,-10.2108687,NA,30.3692,NA,NA,0.0366841481,-0.0102108687,9.68,15.7374995349,-0.3675912732,"RF15-CR",25.0499082617
"APSIM",5,43,"5_43",-6.14370555555524,0.459355555555547,-0.900072727272743,3.3,36.24436,0.614440551724154,-10.213233125,NA,40.4,NA,NA,0.03624436,-0.010213233125,-12.1,15.54883044,-0.3676763925,"RF25-CR",3.0811540475
"Daycent",5,43,"5_43",-2.91942631649835,-0.172559506172838,1.42680187654321,-2.5,32.3020631,-0.110099348965513,-10.213233125,-0.0224778068965529,35.1,NA,NA,0.0323020631,-0.010213233125,9.16666666666667,13.8575850699,-0.3676763925,"RF25-CR",22.6565753440667
"RothC",5,43,"5_43",NA,NA,NA,-2.7054,34.27321155,NA,-10.213233125,NA,30.3038,NA,NA,0.03427321155,-0.010213233125,9.9198,14.70320775495,-0.3676763925,"RF25-CR",24.25533136245
"APSIM",5,44,"5_44",-6.04605555555531,0.458733333333328,-0.933503030303029,3,33.8404,0.557013931034497,-10.216987625,NA,40.1,NA,NA,0.0338404,-0.010216987625,-11,14.5175316,-0.3678115545,"RF35-CR",3.1497200455
"Daycent",5,44,"5_44",-2.93640569248038,-0.172665629629631,1.37512009876542,-2.5,30.345302,-0.133855532413789,-10.216987625,-0.022562096743296,35.1,NA,NA,0.030345302,-0.010216987625,9.16666666666667,13.018134558,-0.3678115545,"RF35-CR",21.8169896701667
