"year","Obs_sd","treatment_scen","Model","C_val"
2010,NA,"Rmv Resid 0%, No Till, Crop Rotation","Daycent",40.5
2010,NA,"Rmv Resid 0%, No Till, Crop Rotation","RothC",34.3006
2011,NA,"Rmv Resid 0%, No Till, Crop Rotation","Observed",NA
2011,NA,"Rmv Resid 0%, No Till, Crop Rotation","APSIM",39.5
2011,NA,"Rmv Resid 0%, No Till, Crop Rotation","Daycent",41
2011,NA,"Rmv Resid 0%, No Till, Crop Rotation","RothC",34.3078
2012,NA,"Rmv Resid 0%, No Till, Crop Rotation","Observed",NA
2012,NA,"Rmv Resid 0%, No Till, Crop Rotation","APSIM",39.7
2012,NA,"Rmv Resid 0%, No Till, Crop Rotation","Daycent",41.2
2012,NA,"Rmv Resid 0%, No Till, Crop Rotation","RothC",34.6093
2013,NA,"Rmv Resid 0%, No Till, Crop Rotation","Observed",NA
2013,NA,"Rmv Resid 0%, No Till, Crop Rotation","APSIM",40
2013,NA,"Rmv Resid 0%, No Till, Crop Rotation","Daycent",41.7
2013,NA,"Rmv Resid 0%, No Till, Crop Rotation","RothC",34.8049
2014,NA,"Rmv Resid 0%, No Till, Crop Rotation","Observed",NA
2014,NA,"Rmv Resid 0%, No Till, Crop Rotation","APSIM",40
2014,NA,"Rmv Resid 0%, No Till, Crop Rotation","Daycent",42.3
2014,NA,"Rmv Resid 0%, No Till, Crop Rotation","RothC",34.9684
2015,NA,"Rmv Resid 0%, No Till, Crop Rotation","Observed",NA
2015,NA,"Rmv Resid 0%, No Till, Crop Rotation","APSIM",40.4
2015,NA,"Rmv Resid 0%, No Till, Crop Rotation","Daycent",42.4
2015,NA,"Rmv Resid 0%, No Till, Crop Rotation","RothC",35.2537
2016,NA,"Rmv Resid 0%, No Till, Crop Rotation","Observed",NA
2016,NA,"Rmv Resid 0%, No Till, Crop Rotation","APSIM",41
2016,NA,"Rmv Resid 0%, No Till, Crop Rotation","Daycent",42.9
2016,NA,"Rmv Resid 0%, No Till, Crop Rotation","RothC",35.2841
2017,NA,"Rmv Resid 0%, No Till, Crop Rotation","Observed",NA
2017,NA,"Rmv Resid 0%, No Till, Crop Rotation","APSIM",40.9
2017,NA,"Rmv Resid 0%, No Till, Crop Rotation","Daycent",43.2
2017,NA,"Rmv Resid 0%, No Till, Crop Rotation","RothC",34.9335
2018,NA,"Rmv Resid 0%, No Till, Crop Rotation","Observed",NA
2018,NA,"Rmv Resid 0%, No Till, Crop Rotation","APSIM",41.3
2018,NA,"Rmv Resid 0%, No Till, Crop Rotation","Daycent",43.3
2018,NA,"Rmv Resid 0%, No Till, Crop Rotation","RothC",35.0775
2019,NA,"Rmv Resid 0%, No Till, Crop Rotation","Observed",NA
2019,NA,"Rmv Resid 0%, No Till, Crop Rotation","APSIM",41.6
2019,NA,"Rmv Resid 0%, No Till, Crop Rotation","Daycent",43.8
2019,NA,"Rmv Resid 0%, No Till, Crop Rotation","RothC",35.0875
2020,NA,"Rmv Resid 0%, No Till, Crop Rotation","Observed",NA
2020,NA,"Rmv Resid 0%, No Till, Crop Rotation","APSIM",41.7
2020,NA,"Rmv Resid 0%, No Till, Crop Rotation","Daycent",44.3
2020,NA,"Rmv Resid 0%, No Till, Crop Rotation","RothC",35.1327
2021,NA,"Rmv Resid 0%, No Till, Crop Rotation","Observed",NA
2021,NA,"Rmv Resid 0%, No Till, Crop Rotation","APSIM",41.9
2021,NA,"Rmv Resid 0%, No Till, Crop Rotation","Daycent",44.5
2021,NA,"Rmv Resid 0%, No Till, Crop Rotation","RothC",36.5522
