obs_date,treatment,material,rate_kg_ha,n_rate_kg_ha,p_rate_kg_ha,k_rate_kg_ha,date,year,rate,units,observation_type,equipment,crop,obs_code,rate_seeds_ha,rate_seeds_m2,row_spacing_mm,seed_depth_mm,cultivar
4/29/2013,T1,Ammonium sulfate (AMS),2,0,NA,NA,4/29/2013,2013,2,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
5/2/2013,T1,28% UAN (28-0-0),323,91,0,0,5/2/2013,2013,288,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
8/29/2013,T1,Ammonium sulfate (AMS),4,1,NA,NA,8/29/2013,2013,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
4/18/2014,T1,0-0-60 potash fertilizer,79,0,0,23,4/18/2014,2014,70,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
5/12/2014,T1,19-17-0 liquid fertilizer,173,33,13,0,5/12/2014,2014,154,lb/ac,Fertilizer application,NA,NA,DAP,NA,NA,NA,NA,NA
5/24/2014,T1,Ammonium sulfate (AMS),4,1,NA,NA,5/24/2014,2014,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
6/17/2014,T1,28% UAN (28-0-0),479,134,0,0,6/17/2014,2014,427,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
4/6/2015,T1,0-0-60 potash fertilizer,168,0,0,50,4/6/2015,2015,150,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
4/14/2015,T1,0-46-0 phosphate fertilizer,112,10,26,0,4/14/2015,2015,100,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
7/23/2015,T1,Ammonium sulfate (AMS),4,1,NA,NA,7/23/2015,2015,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
3/21/2016,T1,28% UAN (28-0-0),120,34,0,0,3/21/2016,2016,107,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
4/5/2016,T1,0-0-60 potash fertilizer,112,0,0,33,4/5/2016,2016,100,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
4/5/2016,T1,11-52-0 monoammonium phosphate fertilizer,220,24,50,0,4/5/2016,2016,196,lb/ac,Fertilizer application,NA,NA,MAP,NA,NA,NA,NA,NA
4/16/2016,T1,Ammonium sulfate (AMS),3,1,NA,NA,4/16/2016,2016,3,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
4/24/2016,T1,11-0-0-26,84,9,8,8,4/24/2016,2016,75,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
4/24/2016,T1,28% UAN (28-0-0),120,34,0,0,4/24/2016,2016,107,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
8/29/2016,T1,Ammonium sulfate (AMS),4,1,NA,NA,8/29/2016,2016,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
5/8/2017,T1,0-0-60 potash fertilizer,90,0,0,27,5/8/2017,2017,80,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
5/16/2017,T1,19-17-0 liquid fertilizer,173,33,13,0,5/16/2017,2017,154,lb/ac,Fertilizer application,NA,NA,DAP,NA,NA,NA,NA,NA
6/9/2017,T1,Ammonium sulfate (AMS),4,1,NA,NA,6/9/2017,2017,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
6/21/2017,T1,28% UAN (28-0-0),491,138,0,0,6/21/2017,2017,438,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
5/24/2018,T1,0-0-60 potash fertilizer,135,0,0,40,5/24/2018,2018,120,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
7/12/2018,T1,Ammonium sulfate (AMS),4,1,NA,NA,7/12/2018,2018,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
3/26/2019,T1,28% UAN (28-0-0),120,34,0,0,3/26/2019,2019,107,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
3/28/2019,T1,0-0-60 potash fertilizer,112,0,0,33,3/28/2019,2019,100,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
3/28/2019,T1,11-52-0 monoammonium phosphate fertilizer,220,24,50,0,3/28/2019,2019,196,lb/ac,Fertilizer application,NA,NA,MAP,NA,NA,NA,NA,NA
4/17/2019,T1,Ammonium sulfate (AMS),4,1,NA,NA,4/17/2019,2019,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
5/5/2019,T1,12-0-0-26,84,10,0,0,5/5/2019,2019,75,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
5/5/2019,T1,32 % Liquid UAN (32-0-0-0),112,36,0,0,5/5/2019,2019,100,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
8/13/2019,T1,Ammonium sulfate (AMS),4,1,NA,NA,8/13/2019,2019,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
10/18/2019,T1,Ammonium sulfate (AMS),4,1,NA,NA,10/18/2019,2019,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
4/16/2020,T1,0-0-60,112,0,0,67,4/16/2020,2020,100,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
5/13/2020,T1,16.5-16.5-0-2.9 with .2 lbs/A zinc and .3 lbs/A boron starter fertilizer,206,34,34,0,5/13/2020,2020,184,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
6/18/2020,T1,28% UAN (28-0-0),491,138,0,0,6/18/2020,2020,438,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
6/24/2020,T1,28% UAN (28-0-0),281,79,0,0,6/24/2020,2020,251,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
4/30/2021,T1,0-0-60,170,0,0,102,4/30/2021,2021,152,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
5/10/2021,T1,0-46-0 phosphate fertilizer,124,11,28,0,5/10/2021,2021,111,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
6/17/2021,T1,Ammonium sulfate (AMS),4,1,NA,NA,6/17/2021,2021,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
7/27/2021,T1,Ammonium sulfate (AMS),4,1,NA,NA,7/27/2021,2021,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
